Round,MonteCarlo Points, MonteCarlo Deadwood, Greedy Points, GreedyDeadwood
0,0,47,0,58
1,0,47,0,28
2,0,38,0,28
3,0,38,0,28
4,0,32,0,28
5,0,32,0,28
6,0,34,0,28
7,0,34,0,23
8,0,34,0,23
9,0,34,0,18
10,0,35,0,18
11,0,35,0,18
12,0,39,0,18
13,0,32,25,7
14,0,39,25,54
15,0,39,25,54
16,0,34,25,54
17,0,34,25,31
18,0,14,25,31
19,0,14,25,26
20,0,11,25,26
21,0,11,25,20
22,12,8,25,20
23,12,67,25,78
24,12,27,25,78
25,12,27,25,78
26,12,30,25,78
27,12,30,25,78
28,83,7,25,78
29,83,68,25,19
30,83,39,25,19
31,83,39,25,21
32,83,37,25,21
33,83,37,25,16
34,83,22,25,16
35,83,22,25,21
36,83,17,25,21
37,83,17,25,21
38,83,14,25,21
39,83,14,25,14
40,83,19,25,14
41,83,19,25,19
42,83,16,25,19
43,83,16,25,12
44,83,13,25,12
45,83,13,25,19
46,83,10,25,19
47,83,10,25,11
48,83,15,25,11
49,83,15,25,14
50,86,8,25,11
51,86,41,25,62
52,86,34,25,62
53,86,34,25,58
54,86,28,25,58
55,86,28,25,57
56,86,30,25,57
57,86,30,25,57
58,86,22,25,57
59,86,22,25,28
60,86,19,25,28
61,86,19,25,29
62,87,13,25,14
63,87,52,25,40
64,87,49,25,40
65,87,49,25,33
66,87,49,25,33
67,87,49,25,26
68,87,40,25,26
69,87,40,25,20
70,87,33,25,20
71,87,33,25,24
72,87,13,25,24
73,87,13,30,8
74,87,37,30,53
75,87,37,30,53
76,87,37,30,53
77,87,37,30,28
78,87,37,30,28
79,87,37,30,25
80,87,30,30,25
81,87,30,30,12
82,87,32,30,12
83,87,32,30,16
84,87,32,30,16
85,87,32,55,7
86,87,56,55,55
87,87,56,55,52
88,87,47,55,52
89,87,47,55,52
90,87,49,55,52
91,87,49,55,52
92,87,50,55,52
93,87,50,55,52
94,87,21,55,52
95,87,21,55,47
96,87,22,55,47
97,87,22,55,25
98,87,25,55,25
99,87,25,71,9
100,87,29,71,63
101,87,29,71,63
102,87,29,71,63
103,87,29,71,56
104,87,25,71,56
105,87,25,71,56
106,113,9,71,35
