Round,Random #1 Points, Random #1 Deadwood, Random #2 Points, Random #2 Deadwood
0,0,65,0,38
1,0,65,0,46
2,0,62,0,46
3,0,62,0,51
4,0,64,0,51
5,0,64,0,52
6,0,58,0,52
7,0,58,0,49
8,0,58,0,49
9,0,58,0,77
10,0,67,0,77
11,0,67,0,75
12,0,57,0,75
13,0,57,0,75
14,0,27,0,75
15,0,27,0,76
16,0,57,0,76
17,0,57,0,69
18,0,58,0,69
19,0,58,0,64
20,0,53,0,64
21,0,53,0,62
22,0,50,0,62
23,0,50,0,64
24,0,55,0,64
25,0,55,0,57
26,0,55,0,57
27,0,55,0,57
28,0,50,0,57
29,0,50,0,60
30,0,47,0,60
31,0,47,0,39
32,0,47,0,39
33,0,47,0,39
34,0,46,0,39
35,0,46,0,65
36,0,40,0,65
37,0,40,0,68
38,0,36,0,68
39,0,36,0,67
40,0,41,0,67
41,0,41,0,60
42,0,43,0,60
43,0,43,0,58
44,0,41,0,58
45,0,41,0,53
46,0,54,0,53
47,0,54,0,54
48,0,45,0,54
49,0,45,0,58
50,0,29,0,58
51,0,29,0,35
52,0,14,0,35
53,0,14,0,38
54,0,29,0,38
55,0,29,0,45
56,0,19,0,45
57,0,19,0,70
58,0,26,0,70
59,0,26,0,64
60,0,41,0,64
61,0,41,0,64
62,0,34,0,64
63,0,34,0,67
64,0,54,0,75
65,0,54,0,77
66,0,65,0,77
67,0,65,0,73
68,0,67,0,73
69,0,67,0,71
70,0,66,0,71
71,0,66,0,71
72,0,67,0,71
73,0,67,0,70
74,0,76,0,70
75,0,76,0,69
76,0,71,0,69
77,0,71,0,73
78,0,71,0,73
79,0,71,0,70
80,0,42,0,70
81,0,42,0,72
82,0,68,0,72
83,0,68,0,76
84,0,64,0,76
85,0,64,0,76
86,0,60,0,76
87,0,60,0,82
88,0,54,0,82
89,0,54,0,82
90,0,62,0,82
91,0,62,0,84
92,0,62,0,84
93,0,62,0,86
94,0,62,0,86
95,0,62,0,88
96,0,60,0,88
97,0,60,0,83
98,0,64,0,83
99,0,64,0,84
100,0,48,0,84
101,0,48,0,84
102,0,40,0,84
103,0,40,0,59
104,0,51,0,59
105,0,51,0,87
106,0,49,0,87
107,0,49,0,59
108,0,30,0,59
109,0,30,0,59
110,0,32,0,59
111,0,32,0,57
112,0,32,0,57
113,0,32,0,50
114,0,55,0,50
115,0,55,0,50
116,0,59,0,50
117,0,59,0,47
118,0,43,0,47
119,0,43,0,48
120,0,66,0,48
121,0,66,0,45
122,0,66,0,45
123,0,66,0,22
124,0,47,0,22
125,0,47,0,24
126,0,46,0,24
127,0,46,0,28
128,0,46,0,28
129,0,46,0,58
130,0,46,0,58
131,0,46,0,63
132,0,46,0,63
133,0,46,0,59
134,0,46,0,59
135,0,46,0,87
136,0,45,0,87
137,0,45,0,91
138,0,62,0,34
139,0,62,0,30
140,0,66,0,30
141,0,66,0,33
142,0,61,0,33
143,0,61,0,43
144,0,63,0,43
145,0,63,0,58
146,0,60,0,58
147,0,60,0,53
148,0,37,0,53
149,0,37,0,53
150,0,37,0,53
151,0,37,0,34
152,0,44,0,34
153,0,44,0,38
154,0,45,0,38
155,0,45,0,32
156,0,23,0,32
157,0,23,0,35
158,0,52,0,35
159,0,52,0,55
160,0,55,0,55
161,0,55,0,60
162,0,49,0,60
163,0,49,0,54
164,0,76,0,54
165,0,76,0,56
166,0,50,0,56
167,0,50,0,60
168,0,43,0,60
169,0,43,0,60
170,0,72,0,60
171,0,72,0,58
172,0,64,0,58
173,0,64,0,59
174,0,67,0,59
175,0,67,0,57
176,0,45,0,57
177,0,45,0,50
178,0,72,0,50
179,0,72,0,52
180,0,65,0,52
181,0,65,0,55
182,0,65,0,55
183,0,65,0,51
184,0,61,0,51
185,0,61,0,52
186,0,60,0,52
187,0,60,0,56
188,0,65,0,56
189,0,65,0,55
190,0,62,0,55
191,0,62,0,55
192,0,63,0,55
193,0,63,0,61
194,0,67,0,61
195,0,67,0,65
196,0,70,0,65
197,0,70,0,74
198,0,61,0,74
199,0,61,0,83
200,0,56,0,62
201,0,56,0,36
202,0,56,0,36
203,0,56,0,43
204,0,48,0,43
205,0,48,0,40
206,0,48,0,40
207,0,48,0,47
208,0,57,0,47
209,0,57,0,46
210,0,48,0,46
211,0,48,0,64
212,0,51,0,64
213,0,51,0,61
214,0,53,0,61
215,0,53,0,60
216,0,39,0,60
217,0,39,0,61
218,0,45,0,61
219,0,45,0,65
220,0,44,0,65
221,0,44,0,61
222,0,41,0,61
223,0,41,0,62
224,0,21,0,62
225,0,21,0,63
226,0,46,0,63
227,0,46,0,67
228,0,70,0,67
229,0,70,0,66
230,0,67,0,66
231,0,67,0,60
232,0,65,0,60
233,0,65,0,60
234,0,61,0,60
235,0,61,0,68
236,0,63,0,68
237,0,63,0,49
238,0,70,0,49
239,0,70,0,68
240,0,76,0,68
241,0,76,0,64
242,0,75,0,64
243,0,75,0,60
244,0,56,0,60
245,0,56,0,54
246,0,38,0,54
247,0,38,0,55
248,0,55,0,55
249,0,55,0,47
250,0,51,0,47
251,0,51,0,52
252,0,59,0,52
253,0,59,0,42
254,0,50,0,42
255,0,50,0,49
256,0,52,0,49
257,0,73,0,67
258,0,70,0,67
259,0,70,0,67
260,0,70,0,67
261,0,70,0,67
262,0,55,0,67
263,0,55,0,67
264,0,73,0,67
265,0,73,0,67
266,0,76,0,67
267,0,76,0,66
268,0,55,0,66
269,0,55,0,52
270,0,60,0,52
271,0,60,0,47
272,0,51,0,47
273,0,51,0,65
274,0,57,0,65
275,0,57,0,65
276,0,80,0,65
277,0,80,0,65
278,0,52,0,65
279,0,52,0,39
280,0,79,0,39
281,0,79,0,46
282,0,73,0,46
283,0,73,0,50
284,0,69,0,50
285,0,69,0,53
286,0,45,0,53
287,0,45,0,57
288,0,41,0,57
289,0,41,0,55
290,0,41,0,55
291,0,41,0,50
292,0,47,0,50
293,0,47,0,47
294,0,40,0,47
295,0,40,0,72
296,0,41,0,72
297,0,41,0,47
298,0,56,0,47
299,0,56,0,41
300,0,56,0,41
301,0,56,0,39
302,0,56,0,39
303,0,56,0,66
304,0,57,0,66
305,0,57,0,66
306,0,60,0,66
307,0,60,0,46
308,0,52,0,46
309,0,64,0,42
310,0,65,0,42
311,0,65,0,64
312,0,66,0,64
313,0,66,0,61
314,0,57,0,61
315,0,57,0,69
316,0,54,0,69
317,0,54,0,71
318,0,56,0,71
319,0,56,0,78
320,0,60,0,78
321,0,60,0,42
322,0,61,0,42
323,0,61,0,47
324,0,69,0,47
325,0,69,0,74
326,0,68,0,74
327,0,68,0,76
328,0,73,0,76
329,0,73,0,71
330,0,73,0,71
331,0,73,0,71
332,0,73,0,71
333,0,73,0,77
334,0,66,0,77
335,0,66,0,70
336,0,50,0,70
337,0,50,0,70
338,0,59,0,70
339,0,59,0,67
340,0,52,0,67
341,0,52,0,64
342,0,46,0,64
343,0,46,0,69
344,0,47,0,69
345,0,47,0,65
346,0,71,0,38
347,0,71,0,53
348,0,62,0,53
349,0,62,0,52
350,0,55,0,52
351,0,55,0,54
352,0,51,0,54
353,0,51,0,60
354,0,42,0,60
355,0,42,0,60
356,0,20,0,60
357,0,20,0,62
358,0,21,0,62
359,0,21,0,53
360,0,25,0,53
361,0,25,0,50
362,0,31,0,50
363,0,31,0,57
364,0,31,0,57
365,0,31,0,54
366,0,50,0,54
367,0,50,0,56
368,0,50,0,56
369,0,50,0,59
370,0,53,0,59
371,0,53,0,38
372,0,45,0,38
373,0,45,0,45
374,0,35,0,45
375,0,35,0,74
376,0,39,0,74
377,0,39,0,70
378,0,40,0,70
379,0,40,0,40
380,0,44,0,40
381,0,44,0,41
382,0,42,0,41
383,0,42,0,43
384,0,40,0,43
385,0,40,0,43
386,0,42,0,43
387,0,42,0,66
388,0,59,0,66
389,0,59,0,58
390,0,66,0,58
391,0,66,0,61
392,0,62,0,61
393,0,62,0,62
394,0,71,0,62
395,0,71,0,60
396,0,75,0,60
397,0,75,0,61
398,0,74,0,61
399,0,74,0,55
400,0,73,0,55
401,0,73,0,55
402,0,72,0,55
403,0,72,0,62
404,0,44,0,49
405,0,44,0,52
406,0,43,0,52
407,0,43,0,53
408,0,36,0,53
409,0,36,0,56
410,0,43,0,56
411,0,43,0,52
412,0,47,0,52
413,0,47,0,49
414,0,49,0,49
415,0,49,0,43
416,0,56,0,43
417,0,56,0,42
418,0,36,0,42
419,0,36,0,42
420,0,40,0,42
421,0,40,0,60
422,0,41,0,60
423,0,41,0,59
424,0,46,0,59
425,0,46,0,67
426,0,65,0,67
427,0,65,0,67
428,0,66,0,67
429,0,66,0,69
430,0,72,0,69
431,0,72,0,69
432,0,44,0,69
433,0,44,0,78
434,0,38,0,78
435,0,38,0,50
436,0,43,0,50
437,0,43,0,43
438,0,41,0,43
439,0,41,0,38
440,0,71,0,38
441,0,71,0,29
442,0,42,0,29
443,0,42,0,38
444,0,41,0,38
445,0,41,0,39
446,0,71,0,39
447,0,71,0,21
448,0,65,0,21
449,0,65,0,29
450,0,65,0,29
451,0,65,0,24
452,0,64,0,24
453,0,64,0,50
454,0,64,0,50
455,0,64,0,66
456,0,73,0,66
457,0,73,0,64
458,0,51,0,64
459,0,51,0,62
460,0,53,0,62
461,0,53,0,53
462,0,54,0,53
