random walks, depth, win rate
501,10,0.4600
451,10,0.4100
401,10,0.3600
351,10,0.3800
301,10,0.4100
251,10,0.3000
201,10,0.1900
151,10,0.1100
101,10,0.0500
51,10,0.0000
1,10,0.0000
501,9,0.4500
451,9,0.4400
401,9,0.4400
351,9,0.3400
301,9,0.3300
251,9,0.2900
201,9,0.2000
151,9,0.1100
101,9,0.0700
51,9,0.0200
1,9,0.0000
501,8,0.4800
451,8,0.4700
401,8,0.4400
351,8,0.3700
301,8,0.3900
251,8,0.3300
201,8,0.2200
151,8,0.1800
101,8,0.0600
51,8,0.0200
1,8,0.0000
501,7,0.4800
451,7,0.4400
401,7,0.4100
351,7,0.4100
301,7,0.4500
251,7,0.2900
201,7,0.2200
151,7,0.1600
101,7,0.1300
51,7,0.0300
1,7,0.0000
501,6,0.5700
451,6,0.4800
401,6,0.5100
351,6,0.4700
301,6,0.4200
251,6,0.4000
201,6,0.4600
151,6,0.2000
101,6,0.1600
51,6,0.0100
1,6,0.0000
501,5,0.4900
451,5,0.5200
401,5,0.5000
351,5,0.4300
301,5,0.4000
251,5,0.4800
201,5,0.4300
151,5,0.2800
101,5,0.1700
51,5,0.0000
1,5,0.0000
501,4,0.5100
451,4,0.5000
401,4,0.5900
351,4,0.4900
301,4,0.4800
251,4,0.5400
201,4,0.2800
151,4,0.1600
101,4,0.0900
51,4,0.0300
1,4,0.0000
501,3,0.3500
451,3,0.2900
401,3,0.3200
351,3,0.2600
301,3,0.2500
251,3,0.2900
201,3,0.1100
151,3,0.1500
101,3,0.1100
51,3,0.0400
1,3,0.0000
501,2,0.5500
451,2,0.4200
401,2,0.4900
351,2,0.4800
301,2,0.4500
251,2,0.4000
201,2,0.4300
151,2,0.3800
101,2,0.2400
51,2,0.1800
1,2,0.0000
501,1,0.4700
451,1,0.4400
401,1,0.5000
351,1,0.5000
301,1,0.4500
251,1,0.4700
201,1,0.5200
151,1,0.4000
101,1,0.3200
51,1,0.1500
1,1,0.0000
