random walks, depth, win rate
501,10,1.0000
451,10,1.0000
401,10,1.0000
351,10,1.0000
301,10,1.0000
251,10,1.0000
201,10,0.9900
151,10,1.0000
101,10,0.9900
51,10,0.8300
1,10,0.0000
501,9,1.0000
451,9,1.0000
401,9,1.0000
351,9,1.0000
301,9,1.0000
251,9,1.0000
201,9,1.0000
151,9,0.9900
101,9,0.9500
51,9,0.2100
1,9,0.0000
501,8,1.0000
451,8,1.0000
401,8,1.0000
351,8,1.0000
301,8,0.9800
251,8,1.0000
201,8,0.9600
151,8,0.9600
101,8,0.8600
51,8,0.5500
1,8,0.0000
501,7,0.9800
451,7,0.9900
401,7,1.0000
351,7,0.9900
301,7,0.9900
251,7,0.9800
201,7,0.9700
151,7,0.9600
