"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: reduceCards"
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.002050,0.000005,"s/op",52
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.003882,0.000012,"s/op",51
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.006178,0.000036,"s/op",50
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.008562,0.000085,"s/op",49
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.010709,0.000149,"s/op",48
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.012138,0.000218,"s/op",47
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.012551,0.000279,"s/op",46
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.011784,0.000302,"s/op",45
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.010457,0.000243,"s/op",44
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.008655,0.000228,"s/op",43
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.006869,0.000172,"s/op",42
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.005480,0.000106,"s/op",41
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.004269,0.000063,"s/op",40
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.002888,0.000042,"s/op",39
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.002040,0.000023,"s/op",38
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.001448,0.000014,"s/op",37
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.001004,0.000007,"s/op",36
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000691,0.000004,"s/op",35
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000473,0.000002,"s/op",34
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000334,0.000001,"s/op",33
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000236,0.000001,"s/op",32
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000166,0.000000,"s/op",31
